sku_id,avg_actual_demand,avg_predicted_demand,demand_std,current_stock,selling_price,supplier_id,lead_time_days,avg_lead_time,lead_time_variability,safety_stock,reorder_point,inventory_status,annual_consumptino_value,annual_consumption_value,cumulative_value,cumulative_percentage,ABC_Class,cv,XYZ_Class,ABC_XYZ
9,30.66555183946488,30.737993515050167,5.962003622478883,237,1029.7798662207358,0,3.0,3.0,2.0,94,197,Optimal,11553478.900185106,11553478.900185106,176413848.25988007,47.224338496360005,A,0.19442022937301628,X,AX
13,27.357859531772576,27.39955959197324,5.830580407321616,1143,1145.228428093645,4,13.0,13.0,2.0,322,722,Overstock,11453245.41512039,11453245.41512039,187867093.67500046,50.29026525721585,A,0.21312268237031334,X,AX
27,29.75919732441471,29.836825591973245,5.459018216718335,695,1022.9177257525084,2,10.0,10.0,2.0,399,727,Reorder,11140025.489048662,11140025.489048662,199007119.16404912,53.27234597107188,A,0.1834396995728009,X,AX
17,37.46153846153846,37.387933882943145,6.336828460723067,252,804.7138461538461,3,3.0,3.0,4.0,114,237,Optimal,10981604.64726144,10981604.64726144,209988723.81131056,56.212018906109904,A,0.16915558519383958,X,AX
28,23.207357859531772,23.391476219063545,6.1625475787289,406,1242.1187959866222,6,6.0,6.0,4.0,122,284,Optimal,10605072.181314114,10605072.181314114,220593795.99262467,59.05089761891333,A,0.2655428341317108,Y,AY
0,30.678929765886288,30.870992214046822,6.704495451071606,963,923.0016387959864,2,10.0,10.0,2.0,282,631,Overstock,10400301.387760524,10400301.387760524,230994097.3803852,61.83496110397627,A,0.21853746210295544,X,AX
33,37.709030100334445,37.31219828428094,5.881858589386,1102,758.5613712374582,1,11.0,11.0,4.0,309,769,Optimal,10330811.18745895,10330811.18745895,241324908.56784415,64.60042271184197,A,0.1559801080466886,X,AX
34,29.82274247491639,29.972159849498325,8.193057576606705,1119,908.645050167224,4,13.0,13.0,2.0,432,874,Optimal,9940429.961874623,9940429.961874623,251265338.5297188,67.26138291394241,A,0.27472515592748736,Y,AY
6,33.35117056856188,33.42636461204013,6.6529821466740025,715,813.0385284280936,2,10.0,10.0,2.0,478,852,Reorder,9919576.637629015,9919576.637629015,261184915.1673478,69.9167608760279,A,0.1994827177953797,X,AX
19,31.180602006688964,31.24535458528428,5.367765926879432,230,781.3839130434783,3,3.0,3.0,4.0,121,223,Optimal,8911335.362052353,8911335.362052353,270096250.52940017,72.30224207120145,A,0.1721508111269924,X,AX
30,27.02675585284281,27.046293,6.873689247392721,534,898.0917725752508,6,6.0,6.0,4.0,203,384,Optimal,8865869.426015252,8865869.426015252,278962119.9554154,74.67555246020162,A,0.2543290539500586,Y,AY
11,25.08026755852843,25.154587240802677,6.07450210034521,727,954.085652173913,4,13.0,13.0,2.0,433,810,Reorder,8759865.232074486,8759865.232074486,287721985.1874899,77.02048651715036,A,0.24220244405963698,X,AX
4,34.74916387959866,34.887730618729094,7.069213736732228,339,578.5029765886288,7,5.0,5.0,4.0,160,353,Reorder,7366669.443415314,7366669.443415314,295088654.6309053,78.9924750816431,A,0.2034355059945078,X,AX
31,33.64882943143812,33.68916857859532,6.262739255915679,391,596.5747491638796,7,5.0,5.0,4.0,218,403,Reorder,7335809.162425032,7335809.162425032,302424463.7933303,80.95620263732073,B,0.18612056828533824,X,BX
23,34.33444816053512,34.362447719063546,6.123054459931213,1139,561.6612374581939,1,11.0,11.0,4.0,259,679,Overstock,7044520.04141333,7044520.04141333,309468983.8347436,82.84195481755788,B,0.17833560135587692,X,BX
32,27.58862876254181,27.638947153846154,6.84399539345351,860,649.5446488294315,2,10.0,10.0,2.0,387,705,Optimal,6552746.531416978,6552746.531416978,316021730.3661606,84.59606382505838,B,0.24807305402383312,X,BX
16,27.401337792642146,27.46240391973244,5.784102102356049,1166,646.3042809364549,4,13.0,13.0,2.0,370,774,Overstock,6478410.264617142,6478410.264617142,322500140.6307777,86.33027370864919,B,0.2110883105827485,X,BX
20,29.4247491638796,29.345571257525087,7.099261908933577,350,543.5996321070235,7,5.0,5.0,4.0,134,301,Optimal,5822568.234939793,5822568.234939793,328322708.86571753,87.8889208100938,B,0.24126839176757664,X,BX
21,27.24080267558529,27.29407221070234,5.746508191983171,1138,540.0921404682274,4,13.0,13.0,2.0,255,653,Overstock,5380579.567065995,5380579.567065995,333703288.43278354,89.3292516757717,B,0.2109522344263926,X,BX
3,28.989966555183948,29.032281511705687,7.178213191996332,375,476.53197324414714,5,5.0,5.0,2.0,113,274,Optimal,5049705.794741729,5049705.794741729,338752994.2275253,90.68101072479273,B,0.24761026123752922,X,BX
35,26.93645484949833,26.8302001638796,7.272683247462453,202,508.6647491638796,3,3.0,3.0,4.0,70,159,Optimal,4981365.618277422,4981365.618277422,343734359.8458027,92.01447574725016,B,0.2699940763584894,Y,BY
36,30.40468227424749,30.38360069230769,6.649426842337428,502,429.488093645485,9,5.0,5.0,4.0,209,377,Optimal,4763029.079890077,4763029.079890077,348497388.9256928,93.28949411885431,B,0.2186974618698593,X,BX
1,32.15384615384615,32.13477416722408,8.103550277734362,581,386.00163879598665,6,6.0,6.0,4.0,213,428,Optimal,4527487.554173913,4527487.554173913,353024876.4798667,94.50146022528718,B,0.25202429093432227,Y,BY
8,24.110367892976587,24.265325055183947,6.99265143027124,312,485.9553511705685,7,5.0,5.0,4.0,81,215,Optimal,4304030.563837867,4304030.563837867,357328907.04370457,95.6536089837335,C,0.290026741247205,Y,CY
7,26.795986622073578,26.85669053846154,6.77206936143318,375,415.08334448160537,5,5.0,5.0,2.0,168,318,Optimal,4068934.199600417,4068934.199600417,361397841.24330497,96.74282464257611,C,0.252727001880744,Y,CY
25,26.16722408026756,26.23550422742475,6.435440566779068,790,321.69518394648827,2,10.0,10.0,2.0,198,488,Overstock,3080539.905805151,3080539.905805151,364478381.14911014,97.5674563860489,C,0.24593516480916938,X,CX
15,29.51505016722408,29.689137244147155,7.636164897585198,347,243.96280936454852,5,5.0,5.0,2.0,192,357,Reorder,2643711.5453375033,2643711.5453375033,367122092.69444764,98.27515325982174,C,0.25872105432045034,Y,CY
18,30.043478260869566,30.205801474916388,7.395907353342375,917,196.37133779264212,4,13.0,13.0,2.0,354,809,Optimal,2165017.0803258275,2165017.0803258275,369287109.7747735,98.8547080989696,C,0.24617347196363912,X,CX
10,23.51170568561873,23.52585740133779,6.173310444645911,677,250.683745819398,2,10.0,10.0,2.0,175,443,Overstock,2152605.770797834,2152605.770797834,371439715.5455713,99.43094054654719,C,0.2625632749572016,Y,CY
2,25.94648829431438,26.043582538461536,7.373802669888843,395,223.63040133779265,5,5.0,5.0,2.0,108,259,Overstock,2125809.93760278,2125809.93760278,373565525.4831741,100.00000000000003,C,0.28419270408568753,Y,CY
